OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,FullBath,YearsBeforeSold,ExterQual_TA,BsmtQual_Ex,KitchenQual_TA,GarageFinish_Unf,KitchenQual_Ex,SalePrice
5,970,2,970,970,1,44,1,0,1,1,0,132500
6,1493,2,1478,1493,2,10,1,0,0,0,0,208900
9,2643,3,2153,2069,2,1,0,0,0,0,1,380000
8,1718,3,1705,1718,2,1,0,1,0,0,0,297000
4,1131,2,907,1131,1,7,1,0,1,1,0,89471
9,1850,3,1833,1850,2,1,0,1,0,0,0,326000
9,1792,3,1792,1792,2,2,0,1,0,0,1,374000
7,1826,1,910,916,1,4,0,0,0,1,1,155000
6,1216,2,1216,1216,2,8,1,1,1,1,0,164000
5,999,1,999,999,1,6,1,0,0,1,0,132500
5,1113,1,1113,1113,1,2,0,0,0,1,0,147000
5,1073,2,1073,1073,1,42,1,0,1,0,0,156000
5,1484,2,1484,1484,2,36,1,0,1,1,0,175000
5,2414,2,954,1766,2,36,1,0,1,1,0,160000
4,630,1,630,630,1,7,1,0,0,1,0,86000
5,1304,1,264,616,1,32,1,0,1,0,0,115000
6,1578,1,806,958,1,56,1,0,0,1,0,133000
6,1456,2,728,728,2,0,0,0,1,0,0,172785
5,1269,1,1269,1269,1,48,1,0,1,1,0,155000
5,886,1,190,886,1,13,1,0,1,1,0,91300
4,720,0,720,720,1,59,1,0,1,1,0,34900
8,3228,2,3200,3228,3,14,0,0,0,0,0,430000
7,1820,1,1026,1133,2,58,1,0,1,1,0,184000
5,899,1,864,899,1,5,1,0,0,0,0,130000
5,912,1,912,912,1,22,1,0,1,0,0,120000
6,1218,1,672,672,1,34,1,0,1,1,0,113000
7,1768,2,866,866,2,3,0,0,0,0,0,226700
5,1214,2,1214,1214,1,42,1,0,1,1,0,140000
7,1801,2,1501,1801,2,13,1,0,1,0,0,289000
6,1322,2,855,855,2,35,1,0,1,1,0,147000
5,1960,2,960,960,2,57,1,0,1,1,0,124500
8,1911,2,777,1065,2,12,0,0,0,0,0,215000
6,1218,2,1218,1218,2,0,0,0,0,0,0,208300
7,1378,2,689,689,2,3,1,0,0,1,0,161000
5,1041,1,1041,1041,1,50,1,0,1,0,0,124500
5,1363,1,1008,1363,1,9,0,0,1,1,0,164900
7,1368,2,1368,1368,2,0,0,0,0,0,0,202665
5,864,2,864,864,1,48,1,0,1,1,0,129900
6,1080,2,1084,1080,1,24,1,0,1,1,0,134000
5,789,1,768,789,1,57,1,0,1,1,0,96500
10,2020,3,2006,2020,2,0,0,1,0,0,1,402861
6,2119,2,689,1378,2,37,1,0,1,0,0,158000
7,2344,3,1264,1277,2,12,0,0,0,0,0,265000
6,1796,2,794,882,2,9,1,0,1,0,0,211000
7,2080,1,1276,1276,1,5,0,0,0,1,0,234000
4,1294,0,0,694,2,8,1,0,1,1,0,106250
6,1244,1,1244,1244,1,50,1,0,1,1,0,150000
6,1664,2,1004,1004,2,56,1,0,1,1,0,159000
10,4676,3,3138,3138,3,-1,0,1,0,0,1,184750
7,2398,3,1379,1383,2,10,0,0,0,0,0,315750
7,1266,2,1257,1266,2,1,0,0,0,1,0,176000
5,928,1,928,928,1,7,1,0,1,1,0,132000
9,2713,3,1452,1476,2,0,0,1,0,0,1,446261
4,605,0,528,605,1,5,1,0,1,1,0,86000
6,2515,2,2035,2515,3,32,0,0,1,0,0,200624
6,1509,2,1461,1509,2,19,0,0,0,0,0,175000
6,1362,2,611,751,2,9,1,0,1,0,0,128000
5,827,1,0,827,1,3,1,0,1,1,0,107500
1,334,0,0,334,1,57,0,0,0,1,0,39300
8,1414,2,707,707,2,2,0,1,0,0,0,178000
5,1347,0,1117,820,1,17,1,0,1,1,0,107500
7,1724,2,880,880,2,9,1,0,0,0,0,188000
4,864,2,864,864,1,36,1,0,1,1,0,111250
5,1159,1,1051,1159,1,38,1,0,1,1,0,158000
8,1601,2,1581,1601,2,8,0,0,0,0,0,272000
9,1838,3,1838,1838,2,3,0,1,0,0,1,315000
8,2285,3,969,997,2,7,0,0,0,0,0,248000
7,1680,2,1650,1680,2,10,0,1,0,0,0,213250
7,767,1,723,767,1,9,1,0,1,0,0,133000
7,1496,2,654,664,2,0,0,0,0,0,0,179665
7,2183,3,1204,1377,2,18,0,0,0,1,0,229000
6,1635,2,1065,915,1,57,1,0,1,1,0,210000
5,768,2,768,768,1,37,1,0,1,1,0,129500
5,825,2,825,825,1,13,1,0,1,0,0,125000
7,2094,2,912,912,2,5,0,0,0,0,0,263000
6,1069,2,1069,1069,2,31,1,0,1,0,0,140000
5,928,1,928,928,1,51,1,0,1,0,0,112500
8,1717,3,1709,1717,2,3,0,1,0,0,0,255500
4,1126,2,0,1126,2,6,1,0,0,0,0,108000
7,2046,3,998,1006,2,4,0,0,0,0,0,284000
5,1048,1,993,1048,1,56,1,0,1,1,0,113000
5,1092,1,1092,1092,1,49,1,0,1,0,0,141000
4,1336,1,637,897,1,56,1,0,1,1,0,108000
7,1446,2,729,729,2,11,1,0,1,1,0,175000
7,1557,2,1374,1557,2,2,0,0,0,0,0,234000
5,1392,2,1392,1392,1,14,1,0,1,1,0,121500
5,1389,2,1389,1389,1,31,1,0,1,0,0,170000
5,996,0,996,996,1,39,1,0,1,1,0,108000
6,1674,2,1163,1163,2,58,1,0,1,0,0,185000
7,2295,2,1095,1166,2,6,0,0,0,0,0,268000
6,1647,1,806,841,1,60,1,0,0,1,0,128000
9,2504,3,1122,1134,2,1,0,0,0,0,1,325000
7,1535,2,1517,1535,2,6,0,0,0,0,0,214000
8,2132,2,1496,1496,1,0,0,0,0,0,0,316600
5,943,2,943,943,1,27,1,0,1,1,0,135960
5,1728,2,1728,1728,2,43,1,0,1,1,0,142600
6,864,1,864,864,1,47,1,0,0,1,0,120000
7,1692,2,846,846,2,0,1,1,0,0,0,224500
7,1430,2,384,774,2,7,1,0,1,0,0,170000
5,1109,1,372,576,1,2,1,0,1,1,0,139000
5,1216,1,832,832,1,58,1,0,1,1,0,118500
7,1477,1,861,877,2,59,1,0,1,1,0,145000
5,1320,2,1164,1320,1,40,1,0,1,0,0,164500
7,1392,2,689,703,2,1,0,0,0,1,0,146000
5,1795,1,1050,1050,2,54,1,0,1,1,0,131500
6,1429,2,1144,1429,1,20,1,0,0,1,0,181900
8,2042,3,2042,2042,2,0,0,1,0,0,1,253293
6,816,0,816,816,1,17,1,0,1,1,0,118500
10,2775,2,1237,1521,3,8,0,0,0,1,0,325000
4,1573,1,884,989,1,14,1,0,0,1,0,133000
8,2028,3,1868,2028,2,0,0,1,0,0,0,369900
6,838,1,816,838,1,8,1,0,0,0,0,130000
5,860,2,840,860,1,27,1,0,1,1,0,137000
5,1473,1,1437,1473,1,6,1,0,0,1,1,143000
5,935,1,742,779,1,48,1,0,1,1,0,79500
7,1582,2,770,770,2,4,0,0,0,0,0,185900
10,2296,3,1722,1728,2,1,0,1,0,0,1,451950
5,816,2,816,816,1,5,1,0,1,0,0,138000
6,848,2,848,848,1,6,0,0,0,0,0,140000
5,924,1,924,924,1,33,1,0,1,1,0,110000
8,1826,3,1814,1826,2,0,0,0,0,0,0,319000
6,1368,1,684,684,1,13,1,0,1,1,0,114504
7,1402,3,1258,1402,0,0,0,1,0,0,0,194201
5,1647,2,1430,1647,2,29,1,0,0,0,0,217500
6,1556,2,716,716,2,28,1,0,1,0,0,151000
8,1904,2,1058,1058,2,1,0,0,0,0,1,275000
6,1375,1,780,780,1,57,1,0,0,1,0,141000
8,1915,2,908,927,2,14,0,0,0,0,0,220000
7,1200,2,600,600,2,5,0,0,0,0,0,151000
7,1494,2,1494,1494,2,6,0,0,0,0,0,221000
7,1986,2,768,1186,2,19,1,0,1,1,0,205000
5,1040,2,1040,1040,1,13,1,0,0,1,0,152000
5,2008,1,896,1112,3,4,1,0,0,1,1,225000
8,3194,2,965,1940,2,9,1,0,1,1,0,359100
4,1029,1,1029,1029,1,46,1,0,1,1,0,118500
9,2153,3,1440,1476,2,9,0,1,0,0,1,313000
6,1032,2,1032,1032,2,29,1,0,1,1,0,148000
8,1872,2,1299,1299,2,8,0,0,0,0,1,261500
5,1120,0,1120,1120,1,0,1,0,1,1,0,147000
4,630,0,630,630,1,38,1,0,1,1,0,75500
6,1054,2,936,1054,1,47,1,0,0,0,0,137500
6,1509,2,783,807,2,3,0,0,0,0,0,183200
6,832,2,832,832,1,54,1,0,0,1,0,105500
9,1828,3,1822,1828,2,0,0,1,0,1,0,314813
8,2262,3,1482,1482,2,5,0,0,0,0,0,305000
3,864,0,864,864,1,58,1,0,1,1,0,67000
6,2614,2,1522,1548,2,11,1,0,1,0,0,240000
5,980,2,980,980,1,32,1,0,1,1,0,135000
6,1512,2,756,756,2,7,0,0,0,1,0,168500
6,1790,2,732,1012,1,34,1,0,1,0,0,165150
6,1116,2,1116,1116,1,48,1,0,1,1,0,160000
5,1422,1,978,1422,1,29,1,0,1,0,0,139900
6,1520,1,1156,1520,1,38,1,0,1,0,0,153000
5,2080,2,1040,1040,1,38,1,0,0,1,0,135000
6,1350,2,1248,1350,1,44,1,0,1,0,0,168500
5,1750,1,636,1089,1,15,1,0,0,1,1,124000
8,1554,2,1554,1554,2,1,0,0,0,0,0,209500
7,1411,2,1386,1411,2,32,1,0,1,0,0,82500
5,1056,1,1056,1056,1,2,1,0,1,1,0,139400
6,1056,2,1056,1056,0,30,1,0,1,1,0,144000
6,3395,0,1440,1440,2,12,0,0,0,1,0,200000
2,800,0,264,800,1,59,0,0,0,1,0,60000
5,1387,1,811,811,2,55,1,0,0,1,0,93000
5,796,0,796,796,1,58,1,0,1,1,0,85000
8,1567,3,1520,1567,2,0,0,0,0,0,1,264561
8,1518,2,1518,1518,1,4,0,1,0,0,1,274000
7,1929,2,1057,1057,2,6,0,0,0,0,0,226000
8,2704,2,1952,2000,2,14,0,0,0,0,1,345000
5,1620,2,780,780,2,38,1,0,1,0,0,152000
9,1766,3,1766,1766,2,0,0,1,0,0,1,370878
6,981,2,981,981,1,36,1,0,1,1,0,143250
5,1048,2,0,1048,1,58,1,0,1,1,0,98300
6,1094,2,1094,1094,1,55,1,0,1,0,0,155000
6,1839,2,756,1051,1,44,1,0,1,1,0,155000
4,630,0,630,630,1,37,1,0,1,1,0,84500
7,1665,2,813,822,2,1,0,0,0,0,0,205950
4,1510,1,755,755,1,59,1,0,1,1,0,108000
7,1716,2,880,909,2,13,0,0,0,0,0,191000
6,1469,1,756,756,1,13,1,0,1,1,0,135000
8,2113,3,2109,2113,2,13,0,0,0,0,0,350000
6,1092,1,525,525,1,39,1,0,1,1,0,88000
5,1053,1,1053,1053,1,2,0,0,0,0,0,145500
7,1502,1,776,851,1,8,1,0,1,0,0,149000
6,1458,1,912,912,1,60,1,0,1,1,0,97500
5,1486,2,1486,1486,1,10,1,0,1,0,0,167000
7,1935,2,793,1142,2,31,1,0,1,0,0,197900
8,2448,3,1629,1686,2,4,0,0,0,0,0,402000
6,1392,2,1392,1392,1,41,1,0,1,0,0,110000
4,1181,2,1138,1181,2,36,1,0,1,0,0,137500
8,2097,3,2077,2097,1,0,0,1,0,0,1,423000
8,1936,2,1406,1454,2,6,0,0,0,0,0,230500
6,2380,2,1021,1465,2,28,1,0,1,1,0,129000
6,1679,2,1408,1679,2,10,1,0,0,0,0,193500
5,1437,2,1188,1437,1,19,1,0,1,1,0,168000
4,1180,1,700,1180,1,56,1,0,0,1,0,137500
6,1476,2,738,738,2,4,0,0,0,0,0,173500
6,1369,1,672,697,2,59,1,0,1,1,0,103600
6,1208,2,1208,1208,1,29,0,0,1,0,0,165000
6,1839,2,1477,1839,2,3,1,0,0,0,0,257500
6,1136,1,1136,1136,1,43,1,0,1,0,0,140000
6,1441,2,855,855,2,31,1,0,1,1,0,148500
4,1774,3,1095,1095,2,56,1,0,1,1,0,87000
5,792,1,768,792,1,3,0,0,0,1,0,109500
8,2046,3,2046,2046,2,1,0,1,0,0,0,372500
5,988,2,988,988,1,46,1,0,1,1,0,128500
6,923,1,923,923,2,30,1,0,1,0,0,143000
5,1520,1,793,848,1,9,1,0,1,1,0,159434
6,1291,2,1291,1291,1,11,1,0,0,1,0,173000
9,1668,3,1626,1668,2,5,0,0,0,0,0,285000
7,1839,2,1195,1195,2,12,0,0,1,0,0,221000
7,2090,2,1190,1190,2,23,0,0,0,0,0,207500
7,1761,2,874,874,3,0,0,0,0,0,0,227875
7,1102,2,551,551,2,3,0,0,0,1,0,148800
8,1419,2,1419,1419,2,0,0,0,0,0,0,392000
6,1362,2,1362,1362,2,1,0,0,0,0,0,194700
6,848,2,848,848,1,4,0,0,0,0,0,141000
10,4316,3,2444,2444,3,12,0,1,0,0,1,755000
7,2519,2,1210,1238,2,16,0,0,0,0,0,335000
5,1073,1,1073,1073,1,38,1,0,1,1,0,108480
5,1539,2,927,1067,1,59,1,0,1,1,0,141500
6,1137,2,1112,1137,2,19,1,0,0,1,0,176000
5,616,1,616,616,1,56,1,0,1,1,0,89000
5,1148,1,980,1148,1,54,1,1,1,1,0,123500
5,894,1,894,894,1,1,1,0,1,1,0,138500
7,1391,2,1391,1391,2,4,0,0,0,0,0,196000
8,1800,3,1800,1800,2,4,0,1,0,0,0,312500
7,1164,2,1164,1164,1,37,1,0,1,1,0,140000
8,2576,3,1234,1264,2,0,0,1,0,0,1,361919
5,1812,2,360,1032,2,14,1,0,0,1,0,140000
7,1484,2,1473,1484,2,5,0,0,0,0,0,213000
4,1092,0,0,372,2,60,0,0,0,1,0,55000
7,1824,2,1643,1824,2,5,1,0,0,1,0,302000
8,1324,2,1324,1324,2,3,0,0,0,0,0,254000
7,1456,2,728,728,2,0,0,0,0,0,0,179540
5,904,1,876,904,1,42,1,0,1,1,0,109900
3,729,0,270,729,1,5,0,0,1,1,0,52000
4,1178,1,859,859,1,60,1,0,1,0,0,102776
8,1228,2,1228,1228,2,19,0,0,0,0,0,189000
4,960,2,960,960,1,36,1,0,1,1,0,129000
6,1479,2,725,725,2,5,0,0,0,0,0,130500
6,1350,2,1064,1350,2,35,1,0,1,0,0,165000
7,2554,2,718,1576,1,9,1,0,1,1,0,159500
5,1178,2,1176,1178,1,8,1,0,0,1,0,157000
7,2418,3,1311,1325,2,14,0,0,0,0,0,341000
5,971,1,971,971,1,37,1,0,1,1,0,128500
8,1742,2,1742,1742,2,21,0,0,0,0,0,275000
6,848,2,848,848,1,6,0,0,0,0,0,143000
4,864,2,864,864,1,39,1,0,1,1,0,124500
4,1470,1,941,997,2,36,1,0,1,1,0,135000
9,1698,3,1698,1698,2,1,0,1,0,0,1,320000
4,864,2,864,864,1,39,1,0,0,1,0,120500
6,1680,2,880,1680,2,2,0,0,0,0,0,222000
7,1232,2,1232,1232,2,2,0,0,0,0,0,194500
5,1776,3,1584,1776,2,51,1,0,1,1,0,110000
4,1208,2,780,848,1,59,1,0,1,1,0,103000
8,1616,2,1595,1616,2,14,0,0,0,0,0,236500
7,1146,2,868,1146,2,4,0,1,0,0,0,187500
7,2031,2,1153,1153,2,9,0,0,0,0,0,222500
5,1144,1,864,1144,1,26,1,0,1,0,0,131400
5,948,1,948,948,1,39,1,0,1,1,0,108000
7,1768,2,880,880,1,36,1,0,1,1,0,163000
3,1040,2,0,1040,2,56,1,0,1,1,0,93500
8,1801,3,893,901,2,1,0,0,0,0,0,239900
5,1200,0,1200,1200,3,21,1,0,1,1,0,179000
7,1728,2,864,864,2,5,0,0,0,0,0,190000
5,1432,2,264,768,2,5,1,0,1,1,0,132000
6,912,1,912,912,1,12,1,0,0,1,0,142000
7,1349,2,1349,1349,2,6,1,0,1,1,0,179000
5,1464,2,520,1464,2,10,1,0,1,0,0,175000
8,1337,2,1337,1337,2,15,0,0,0,0,0,180000
8,2715,2,1142,1175,3,12,0,0,0,0,0,299800
7,2256,2,952,980,2,9,0,0,0,0,0,236000
7,2640,4,1240,1320,1,6,0,0,0,1,0,265979
7,1720,2,1720,1720,2,14,0,0,0,0,0,260400
4,1529,1,0,1088,2,59,1,0,1,1,0,98000
4,1140,0,576,792,1,6,1,0,1,1,0,96500
7,1320,2,660,660,2,4,0,0,0,0,0,162000
6,1494,2,1479,1494,2,9,1,0,0,0,0,217000
8,2098,3,1030,1038,2,1,0,0,0,0,1,275500
6,1026,2,1026,1026,1,4,1,0,0,0,0,156000
6,1471,2,729,742,2,10,1,0,1,1,0,172500
8,1768,2,866,866,2,2,0,0,0,0,0,212000
6,1386,2,672,672,2,32,1,0,1,0,0,158900
7,1501,2,744,757,2,9,1,0,1,1,0,179400
8,2531,3,1318,1328,2,12,0,0,0,0,0,290000
6,864,1,864,864,1,50,1,0,1,1,0,127500
5,1301,2,1145,1301,1,59,1,0,0,1,0,100000
7,1547,2,756,764,2,1,1,0,0,1,0,215200
8,2365,3,1252,1268,2,10,0,0,0,0,0,337000
8,1494,2,1494,1494,1,10,0,0,0,0,1,270000
9,1506,2,1498,1506,2,0,0,0,0,0,1,264132
7,1714,2,980,980,2,22,1,0,1,1,0,196500
6,1750,1,983,983,2,23,1,0,1,1,0,160000
7,1836,2,1860,1836,2,1,0,0,0,0,0,216837
8,3279,3,1650,1690,3,7,0,0,0,0,1,538000
5,858,2,858,858,1,27,1,0,1,1,0,134900
4,1220,2,836,1220,1,55,1,0,1,1,0,102000
6,1117,2,1029,1117,1,34,1,0,1,1,0,107000
5,912,1,912,912,1,49,1,0,1,0,0,114500
8,1973,3,1935,1973,2,1,0,0,0,0,0,395000
6,1204,2,1204,1204,2,11,1,1,1,0,0,162000
7,1614,3,1614,1614,2,0,0,0,0,0,0,221500
5,894,2,864,894,1,32,1,0,1,1,0,142500
5,2020,2,0,2020,2,30,1,0,1,1,0,144000
6,1004,2,975,1004,1,29,1,0,1,1,0,135000
7,1253,2,1237,1253,2,11,1,0,1,0,0,176000
6,1603,2,761,810,2,14,0,0,0,0,0,175900
7,1430,2,1413,1430,2,7,0,0,0,0,0,187100
5,1110,2,1097,1110,1,31,1,0,0,0,0,165500
6,1484,0,742,742,2,7,1,0,1,1,0,128000
6,1342,2,1372,1342,2,42,1,0,1,1,0,161500
5,1652,1,686,966,2,60,1,0,1,1,0,139000
7,2084,2,956,956,2,6,0,0,0,0,0,233000
4,901,1,901,901,1,8,1,0,1,1,0,107900
6,2087,2,832,976,2,0,1,0,0,0,0,187500
7,1145,2,1145,1145,2,3,0,0,0,0,0,160200
6,1062,2,1029,1062,1,31,1,0,1,0,0,146800
7,2013,2,1117,1127,2,10,0,0,1,1,0,269790
8,1496,2,1496,1496,2,0,0,0,0,0,0,225000
7,1895,2,712,1086,2,12,0,0,0,0,0,194500
6,1564,2,650,888,2,29,1,0,1,1,0,171000
6,1285,2,660,1285,1,30,1,0,1,0,0,143500
5,773,1,773,773,1,55,1,0,1,1,0,110000
9,3140,3,1926,1966,3,0,0,1,0,0,1,485000
5,1768,1,731,981,1,57,1,0,0,1,0,175000
6,1688,2,616,616,2,11,1,0,0,0,0,200000
4,1196,2,1196,1196,1,17,1,0,1,1,0,109900
7,1456,2,728,728,2,3,0,0,0,0,0,189000
9,2822,3,1734,1734,3,0,0,1,0,0,1,582933
5,1128,1,936,1128,1,52,1,0,1,1,0,118000
7,1428,2,1417,1428,2,0,0,0,0,0,1,227680
5,980,1,980,980,2,39,1,0,1,0,0,135500
5,1576,2,1324,1072,1,5,1,0,0,0,0,223500
5,1086,2,1024,1086,1,40,1,0,1,0,0,159950
5,2138,2,849,1075,2,44,1,0,1,1,0,106000
6,1309,2,1040,1309,1,7,1,0,0,0,0,181000
6,848,2,848,848,1,4,0,0,0,0,0,144500
5,1044,2,540,1044,1,58,0,0,0,1,0,55993
6,1442,1,1442,1442,1,49,1,0,1,0,0,157900
5,1250,1,686,686,1,56,1,0,0,1,0,116000
7,1661,2,1649,1661,2,12,1,0,0,0,0,224900
5,1008,1,1008,1008,1,52,1,0,1,0,0,137000
8,1689,3,1568,1689,2,6,0,0,0,0,0,271000
6,1052,2,1010,1052,1,39,1,0,1,1,0,155000
7,1358,2,1358,1358,2,0,0,0,0,0,0,224000
7,1640,2,798,798,2,5,0,0,0,0,0,183000
4,936,2,936,936,1,56,0,0,1,1,0,93000
7,1733,2,847,847,2,4,0,0,0,0,0,225000
6,1489,1,778,944,2,59,1,0,1,1,0,139500
8,1489,2,1489,1489,2,0,0,0,0,0,0,232600
10,2084,3,2078,2084,2,0,0,1,0,0,1,385000
5,784,0,784,784,1,58,1,0,0,1,0,109500
7,1434,2,1454,1434,2,8,0,0,0,0,0,189000
5,2126,2,1013,1160,2,42,1,0,1,0,0,185000
7,1223,2,600,520,2,1,0,0,0,0,0,147400
6,1392,2,1392,1392,1,51,1,0,1,0,0,166000
7,1200,2,600,520,2,1,1,0,0,0,0,151000
7,1829,2,941,941,2,7,0,0,0,0,0,237000
6,1516,2,1516,1516,1,45,1,0,1,0,0,167000
5,1144,2,1144,1144,1,47,1,0,1,1,0,139950
4,1067,2,1067,1067,2,15,1,0,0,1,0,128000
5,1559,2,1559,1559,1,34,1,0,1,1,0,153500
6,987,1,483,483,1,35,1,0,1,1,0,100000
5,1099,1,1099,1099,1,2,1,0,0,1,0,144000
5,1200,1,768,768,1,13,1,0,1,1,0,130500
6,1482,1,672,810,2,58,1,0,0,1,0,140000
5,1539,2,650,958,2,6,1,0,0,1,0,157500
6,1165,2,1127,1165,1,42,1,0,1,0,0,174900
5,1800,0,1800,1800,2,46,1,0,1,1,0,141000
5,1416,3,876,876,1,58,1,0,1,1,0,153900
5,1701,2,1390,1701,2,26,1,0,1,0,0,171000
7,1775,2,740,1006,2,16,0,0,0,1,0,213000
5,864,1,864,864,1,37,1,0,1,1,0,133500
6,2358,2,907,1307,3,11,1,0,1,1,0,240000
6,1855,2,528,1094,2,13,0,0,1,0,0,187000
6,848,2,848,848,1,4,0,0,0,0,0,131500
8,1456,2,1273,1456,2,3,0,0,0,0,0,215000
7,1646,1,918,918,2,57,1,0,1,1,0,164000
6,1445,2,1127,1445,1,45,1,0,1,0,0,158000
5,1779,2,1763,1779,1,32,1,0,1,1,0,170000
5,1040,1,1040,1040,1,0,1,0,1,1,0,127000
6,1026,2,940,1026,1,30,1,0,1,1,0,147000
6,1481,2,702,702,2,14,1,0,1,0,0,174000
7,1370,2,1090,1370,2,33,1,0,1,0,0,152000
6,2654,2,1054,1512,2,22,1,0,0,1,0,250000
7,1426,1,912,912,1,9,0,0,0,1,0,189950
5,1039,2,1039,1039,1,45,1,0,1,1,0,131500
6,1097,2,1040,1097,2,25,1,0,1,1,0,152000
5,1148,1,1148,1148,1,50,1,0,1,1,0,132500
7,1372,2,1372,1372,2,0,0,1,0,0,0,250580
5,1002,2,1002,1002,1,39,1,0,1,1,0,148500
8,1646,3,1638,1646,2,0,0,0,0,0,0,248900
4,1120,2,1040,1120,1,46,1,0,0,0,0,129000
5,2320,2,0,1547,2,56,1,0,1,1,0,169000
7,1949,2,1050,1062,2,16,0,0,0,0,0,236000
5,894,1,894,894,1,47,1,0,1,1,0,109500
6,1682,2,804,804,2,12,1,0,0,0,0,200500
5,910,2,105,910,1,12,0,0,0,1,0,116000
5,1268,1,832,1036,1,59,0,0,1,1,0,133000
5,1131,1,676,676,1,59,1,0,1,1,0,66500
8,2610,2,1184,1184,2,0,0,0,0,0,1,303477
4,1040,2,1064,1040,1,44,1,0,1,1,0,132250
9,2224,3,1462,1462,2,4,0,1,0,0,1,350000
5,1155,2,1109,1155,1,15,1,0,0,1,0,148000
5,864,1,864,864,1,4,0,0,1,1,0,136500
5,1090,2,1090,1090,1,1,1,1,1,0,0,157000
7,1717,2,1156,1187,2,16,0,0,0,0,0,187500
6,1593,2,808,808,2,16,1,0,1,0,0,178000
4,2230,1,795,954,1,56,0,0,1,1,0,118500
5,892,1,892,892,1,42,1,0,1,0,0,100000
9,1709,2,1698,1709,2,8,0,1,0,0,0,328900
5,1712,2,1626,1712,2,1,1,0,1,0,0,145000
5,1393,1,816,872,1,53,1,0,1,1,0,135500
8,2217,2,2217,2217,2,37,0,0,0,1,0,268000
6,1505,2,1505,1505,1,56,1,0,1,0,0,149500
5,924,2,672,672,1,1,1,0,1,1,0,122900
6,1683,2,918,918,2,31,1,0,1,0,0,172500
6,1068,1,1059,1068,1,3,1,0,1,0,0,154500
5,1383,1,1383,1383,1,54,1,0,1,1,0,165000
5,1535,2,0,1535,2,30,1,0,1,1,0,118858
6,1796,2,780,983,1,45,1,0,1,0,0,140000
4,951,1,951,951,1,56,1,0,1,1,0,106500
5,2240,2,0,1120,2,30,1,0,1,1,0,142953
9,2364,3,2330,2364,2,0,0,1,0,0,1,611657
5,1236,1,912,1236,1,12,1,0,1,1,0,135000
4,858,1,858,858,1,36,1,0,1,1,0,110000
5,1306,1,992,1306,1,9,1,0,1,1,0,153000
7,1509,2,783,807,2,3,0,0,0,0,0,180000
7,1670,3,1670,1670,2,0,0,0,0,0,0,240000
5,902,1,876,902,1,40,1,0,1,1,0,125500
5,1063,1,1056,1063,1,56,1,0,1,0,0,128000
8,1636,3,1623,1636,2,1,0,0,0,0,0,255000
7,2057,1,1017,1020,1,19,0,0,0,0,0,250000
5,902,2,864,902,1,23,1,0,1,1,0,131000
6,1484,2,742,742,2,4,0,0,0,0,0,174000
5,2274,2,1105,1105,2,50,1,0,1,1,0,154300
5,1268,1,1268,1268,1,20,1,0,0,1,0,143500
5,1015,1,768,1015,1,56,1,0,1,1,0,88000
5,2002,3,1001,1001,2,57,1,0,1,1,0,145000
6,1224,2,612,612,2,0,0,0,0,0,0,173733
4,1092,1,546,546,1,37,1,0,1,1,0,75000
2,480,1,480,480,0,56,1,0,1,1,0,35311
4,1229,1,1134,1229,1,53,1,0,1,0,0,135000
7,2127,3,1104,912,2,16,0,1,0,0,0,238000
6,1414,2,1184,1414,1,6,0,0,1,1,0,176500
6,1721,2,928,936,2,13,0,0,0,0,0,201000
5,2200,0,1272,1272,2,5,1,0,1,1,0,145900
6,1316,2,1316,1316,2,0,0,0,0,0,0,169990
6,1617,2,1604,1617,2,14,0,0,0,0,0,193000
6,1686,2,1686,1686,2,26,1,0,1,1,0,207500
5,1126,2,1126,1126,2,31,1,0,0,0,1,175000
8,2374,3,1181,1234,2,3,0,0,0,0,1,285000
7,1978,2,832,1098,2,40,1,0,1,0,0,176000
8,1788,2,1753,1788,2,8,0,0,0,0,1,236500
7,2236,2,964,993,2,9,1,0,0,0,0,222000
8,1466,3,1466,1466,2,2,0,0,0,0,0,201000
5,925,1,925,925,1,44,1,0,1,1,0,117500
9,1905,3,1905,1905,2,1,0,1,0,0,1,320000
7,1500,2,1500,1500,2,5,0,0,0,0,0,190000
7,2069,2,585,2069,2,1,1,0,0,0,0,242000
4,747,2,600,747,1,53,1,0,1,1,0,79900
7,1200,2,1176,1200,2,6,0,0,0,0,0,184900
7,1971,2,1113,1113,2,4,0,0,0,0,0,253000
7,1962,3,1391,1391,2,0,0,0,0,0,0,239799
7,2403,1,1032,1207,2,60,1,0,1,1,0,244400
6,1728,2,1728,1728,2,30,1,0,1,1,0,150900
7,2060,2,992,1022,2,10,0,0,0,0,0,214000
4,1440,0,1440,1440,2,30,1,0,1,1,0,150000
5,1632,2,1632,1632,2,40,1,0,1,1,0,143000
6,1344,2,819,1344,1,51,1,0,0,0,0,137500
5,1869,2,1088,1188,1,13,1,0,1,1,0,124900
5,1144,1,1144,1144,1,47,1,0,1,0,0,143000
8,1629,3,1616,1629,2,4,0,0,0,0,0,270000
7,1776,2,936,936,2,4,0,0,0,0,0,192500
6,1381,2,1161,1381,1,4,1,0,0,0,0,197500
5,864,2,864,864,1,5,1,0,0,0,0,129000
5,965,1,828,965,1,41,1,0,1,1,0,119900
5,768,1,768,768,1,6,1,0,1,0,0,133900
5,1968,2,784,1168,2,39,1,0,1,0,0,172000
